"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"HOBLIT DARLING RALLS HERNANDEZ & HUDLOW LLP","2","$140,121.64","696.00","$14,735.44","$110,622.50","$0.00"
"Hinckley, Allen & Snyder","1","$134,538.39","288.60","$6,242.69","$110,265.50","$0.00"
"ABBOTT LAW GROUP PC","1","","860.70","$4,854.65","$110,257.72","$0.00"
"Smith Gambrell & Russell","4","$332,470.67","718.90","$6,553.22","$109,924.76","$0.00"
"GRAY RUST ST. AMAND MOFFETT & BRIESKE LLP","10","$16,551.52","797.20","$6,164.21","$108,975.11","$0.00"
"Jones LaGarde LLC","173","$2,061.71","834.70","$0.00","$108,883.65","$0.00"
"John H Cotton & Associates","1","","509.40","$0.00","$108,645.00","$0.00"
"Gilmore & Bell","2","","381.50","$34.00","$108,580.00","$0.00"
"MARON MARVEL BRADLEY ANDERSON & TARDY LLC","7","$38,132.26","738.30","$1,756.79","$108,328.61","$0.00"
"NEUNERPATE","2","$80,322.99","839.20","$2,108.24","$108,266.00","$0.00"
"JUDICE & ADLEY PC","16","$16,623.94","929.90","$44,993.24","$107,072.38","$0.00"
"Donato Brown Pool & Moehlmann","6","$5,462.53","872.00","$0.00","$107,013.97","$0.00"
"DIRSKA & LEVIN LLC","42","$4,012.89","1,209.10","$5,160.79","$106,826.08","$0.00"
"STEINBERG & CAVALIERE LLP","7","$41,606.94","564.40","$2,709.51","$106,772.49","$0.00"
"TYSON & MENDES LLP","8","$30,040.25","690.80","$1,940.64","$106,770.09","$0.00"
"DICKIE MCCAMEY & CHILCOTE","63","$13,084.86","577.10","$2,924.38","$105,068.90","$0.00"
"SCOTT SULLIVAN STREETMAN & FOX PC - BIRMINGHAM & MOBILE OFFICES","59","$11,404.42","927.40","$6,045.04","$104,810.42","$0.00"
"BOSE MCKINNEY & EVANS LLP","6","$37,944.44","302.20","$247.54","$104,367.50","$0.00"
"MCINTOSH SAWRAN PELTA & CARTAYA PA","3","$120,767.06","710.50","$4,575.24","$103,912.50","$0.00"
"Howard & Howard","7","$37,806.40","645.50","$4,626.38","$103,872.20","$0.00"
"FIXLER & LAGATTUTA","11","$29,064.74","676.10","$5,588.91","$103,527.00","$0.00"
"WILLIAMS COULSON LLC","2","$67,344.09","835.30","$3,863.05","$103,455.00","$0.00"
"Wiggin & Dana","4","$69,635.78","440.40","$72.23","$102,200.61","$0.00"
"RICHTER HEAD SHINALL WHITE & SLOTKIN LLP","25","$6,801.89","748.80","$4,056.85","$102,200.00","$0.00"
"ROYSTON RAYZOR","4","$32,404.37","1,017.90","$4,302.73","$101,789.39","$0.00"
"Day Pitney","6","$276,036.44","224.40","$37.65","$101,726.11","$0.00"
"Levine Blaszak Block & Boothby","2","$408,981.79","262.30","$0.00","$101,056.35","$0.00"
"FLOM LAW OFFICE PA","8","$31,605.44","807.60","$8,198.87","$100,798.62","$0.00"
"SENTER GOLDFARB & RICE LLC","11","$34,974.64","744.99","$2,821.00","$100,772.16","$0.00"
"CORNERSTONE LAW GROUP","1","$129,438.80","464.50","$28,671.30","$100,767.50","$0.00"
"FURMAN KORNFELD & BRENNAN LLP","22","$40,972.19","639.00","$17,034.00","$100,327.68","$0.00"
"SGRO,HANRAHAN","7","$30,539.41","729.80","$0.00","$100,231.52","$0.00"
"MCCORMICK & PRIORE PC","11","$7,917.95","566.60","$1,078.00","$99,753.03","$0.00"
"BOYLE BRASHER LLC","9","$66,420.57","751.40","$11,935.73","$99,655.62","$0.00"
"Franden, Farris, Quillin, Goodnight & Roberts","13","$34,644.93","656.80","$7,433.83","$99,035.37","$0.00"
"Cowan Law Firm","14","$25,901.66","651.50","$6,171.54","$98,993.26","$0.00"
"KOPFF, NARDELLI, & DOPF LLP","7","$110,982.04","504.30","$5,546.85","$98,187.26","$0.00"
"Balch & Bingham","1","$156,310.07","824.00","$3,193.52","$98,171.31","$0.00"
"KEEFE CAMPBELL BIERY & ASSOCIATES","17","$13,235.87","692.90","$507.18","$97,432.00","$0.00"
"CARSON BOXBERGER LLP","11","$35,823.56","899.20","$19,203.47","$97,312.14","$0.00"
"BATES & CAREY","3","$282,035.44","611.50","$0.00","$97,131.55","$0.00"
"GROVES & ASSOCIATES PC","7","$16,960.58","1,019.00","$6,710.84","$96,973.80","$0.00"
"EDWARD C. COSGROVE","10","$30,233.19","720.41","$0.00","$96,586.91","$0.00"
"BROWN & PENA PA","20","$9,413.42","657.90","$40.00","$95,980.00","$0.00"
"BOUHAN FALLIGANT LLP","5","$26,399.45","774.30","$10,163.74","$95,717.31","$0.00"
"BORGELT POWELL PETERSON & FRAUEN","10","$15,588.29","706.90","$3,460.30","$95,594.00","$0.00"
"FULCHER HAGLER LLP","6","$51,826.95","872.00","$4,643.69","$95,283.94","$0.00"
"SCHAFF & YOUNG PC","9","$9,934.47","738.10","$8,237.20","$95,097.64","$0.00"
"Plauche, Smith & Nieset","8","$31,502.94","834.20","$4,027.19","$95,064.09","$0.00"
"Bond Schoeneck & King, Pllc","2","$60,122.75","471.60","$858.18","$94,850.50","$0.00"
"ZETLIN & DE CHIARA LLP","1","$156,553.29","275.40","$320.05","$94,767.50","$0.00"
"COOLING & HERBERS","11","$22,929.54","445.00","$2,853.27","$93,904.99","$0.00"
"HOLMAN FENWICK WILLAN","2","$499,107.93","298.80","$46,903.73","$102,788.60","$8,886.15"
"WINTHROP & WEINSTINE","3","$198,696.73","293.30","$3.36","$93,403.00","$0.00"
"GAGLIONE DOLAN & KAPLAN APC","3","$119,518.45","729.10","$670.60","$93,062.88","$0.00"
"GALLOWAY JOHNSON TOMPKINS BURR & SMITH","21","$16,027.83","753.90","$163.51","$93,040.90","$0.00"
"Currie Johnson & Myers, P.A.","16","$9,408.27","585.30","$5,734.20","$92,424.38","$0.00"
"MARTIN SNOW LLP","13","$14,112.23","748.40","$6,468.33","$92,345.97","$0.00"
"THE LAW OFFICE OF JOSEPH E. BROOKS PLLC","1","$96,325.18","656.60","$3,982.68","$92,342.50","$0.00"
"Wiggin and Dana, LLP","6","$61,989.32","418.40","$1,567.84","$91,993.16","$0.00"
"Vedder Price","1","","281.30","$21.35","$91,973.00","$0.00"
"WAIT & HUFNAGEL","3","$166,265.20","600.30","$8,612.81","$91,890.24","$0.00"
"THE BARTHET FIRM","2","$126,300.17","565.50","$18,203.82","$91,863.30","$0.00"
"RUBIN SHEELEY PATERNITI GONZALEZ KAUFMAN LLP","7","$36,531.35","510.30","$19,538.39","$91,821.25","$0.00"
"DONNA ALBERT & ASSOCIATES PA","3","$57,191.62","292.70","$1,138.74","$91,665.00","$0.00"
"Klinedinst Pc","3","$62,876.82","438.70","$16,986.47","$91,358.50","$0.00"
"Bennett, Bricklin & Saltzburg","22","$10,649.88","687.90","$9,777.24","$91,167.62","$0.00"
"COMEGNO LAW GROUP","1","$133,385.47","469.60","$33,840.27","$91,124.50","$0.00"
"PITZER SNODGRASS PC","9","$43,605.37","846.10","$2,442.59","$91,051.84","$0.00"
"Williams, Porter, Day & Neville, P.C.","2","$145,585.75","1,026.90","$30,429.44","$90,942.16","$0.00"
"LENAHAN LEE SLATER & PEARSE LLP","21","$13,244.23","547.50","$1,184.54","$90,723.30","$0.00"
"WEINER LAW GROUP, LLC","7","$16,566.74","621.50","$806.63","$90,303.60","$0.00"
"NAKAMOTO CHOU LLP","39","$9,738.45","659.60","$460.07","$89,847.50","$0.00"
"Adams & Graham","11","$35,175.09","610.10","$90,081.29","$89,772.47","$0.00"
"Foley & Mansfield","3","$19,925.70","447.70","$64.05","$89,240.50","$0.00"
"Stinson Leonard Street","3","$127,382.11","822.50","$1,675.41","$89,037.00","$0.00"
"TAYLOR ENGLISH DUMA","1","$114,452.52","317.40","$2,800.60","$89,011.00","$0.00"
"Biblightfoot Franklin & White","5","$156,082.50","406.20","$0.00","$88,782.78","$0.00"
"CHOU LAW GROUP","11","$20,657.13","666.90","$143.60","$88,462.00","$0.00"
"Olenn & Penza","7","$15,721.35","537.70","$749.67","$88,379.29","$0.00"
"MAZANEC RASKIN & RYDER","11","$18,756.94","1,341.60","$3,687.85","$88,283.13","$0.00"
"Weil & Drage","3","$52,025.34","599.50","$6,760.84","$88,169.94","$0.00"
"GIBBENS & STEVENS","61","$9,148.35","770.30","$3,224.69","$86,135.48","$0.00"
"WILLIAMS KHERKHER LAW FIRM","87","$2,353.64","678.99","$1,102.43","$85,746.56","$0.00"
"DIETZ, GILMOR & CHAZEN","21","$24,392.44","615.70","$333.71","$85,002.50","$0.00"
"GODFREY GODFREY LAMB & ORTEGA LLP","17","$14,419.94","563.80","$1,783.47","$84,901.00","$0.00"
"STOCKTON BARKER & MEAD LLP","155","$814.23","698.80","$628.16","$84,872.20","$0.00"
"Smith Moore Leatherwood","12","$51,503.19","518.60","$2,171.38","$84,481.32","$0.00"
"ZELLE HOFMAN","9","$20,059.89","366.50","$4,793.12","$84,302.31","$0.00"
"GALLO VITUCCI & KLAR","2","$42,734.55","424.10","$382.59","$84,019.00","$0.00"
"DONNA LAW FIRM PC","7","$32,933.79","533.40","$14,656.32","$83,773.20","$0.00"
"MULHERIN REHFELDT & VARCHETTO PC","5","$40,620.89","699.10","$8,326.42","$83,756.68","$0.00"
"Milton Leach Whitman D'Andrea & Eslinger","3","$29,336.90","407.50","$5,044.87","$82,965.83","$0.00"
"CAMACHO MAURO MULHOLLAND LLP","7","$14,456.70","540.30","$2,038.67","$82,759.09","$0.00"
"LETOFSKTY MCCLAIN","1","$122,717.46","632.60","$12,751.94","$82,251.00","$0.00"
"Lewis, Thomason, King, Krieg & Waldrop, P.C.","19","$27,575.70","1,549.70","$5,437.97","$81,150.87","$0.00"
"MOORE & BISER","4","$42,860.67","574.70","$313.99","$80,925.00","$0.00"
"Maples and Calder","4","$2,824,010.65","102.60","$14,129.73","$83,856.26","$3,696.00"
"LOPEZ PETERSON PLLC","9","$18,100.56","632.60","$14,914.98","$79,963.29","$0.00"
"COWAN LAW FRIM LLP","11","$33,204.18","498.60","$9,591.91","$79,195.50","$0.00"
"LEE SHOEMAKER PLLC","2","$8,578.02","342.20","$0.00","$79,127.68","$0.00"
"GOODMAN MCGUFFEY LLP","11","$20,970.47","568.40","$1,891.16","$78,848.14","$0.00"
"Stoneberg Moran","29","$12,031.97","508.10","$3,174.30","$78,668.65","$0.00"
"LASALLE LASALLE & DWYER PC","3","$108,051.73","431.90","$0.00","$78,661.00","$0.00"
"McAfee & Taft","4","$28,046.52","330.30","$1,312.06","$78,292.00","$0.00"
"COLEMAN CHAVEZ & ASSOCIATES","18","$8,552.57","563.10","$271.72","$78,039.50","$0.00"
"GONZALEZ CASTILLO LLP","3","$384,680.69","393.60","$14,627.50","$78,025.50","$0.00"
"KALBAUGH PFUND & MESSERSMITH PC","11","$11,855.80","507.60","$12,004.90","$77,690.27","$0.00"
"CAMRUD, MADDOCK, OLSON & LARSON","1","$88,510.28","374.10","$10,647.78","$77,562.50","$0.00"
"THE LAW OFFICE OF JEFFREY S WASSERMAN PC","13","$14,611.08","462.00","$2,679.73","$77,379.60","$0.00"
"LEVY & LEVY LLC","2","$80,948.99","527.20","$891.69","$77,308.50","$0.00"
"FRENKEL LAMBERT WEISS WEISMAN & GORDON LLP","5","$36,229.34","498.20","$4,183.46","$77,299.85","$0.00"
"HURLEY ROGNER MILLER COX & WARANCH PA","27","$9,871.69","602.70","$1,490.65","$76,238.54","$0.00"
"CROSSLIN & ASSOCIATES","5","$40,300.32","931.50","$6.80","$76,209.00","$0.00"
"SILVER & FENSTEN LLP","15","$19,701.74","495.70","$897.05","$75,707.91","$0.00"
"WEITZMAN & ESTES","17","$4,508.85","489.90","$0.00","$75,664.00","$0.00"
"TROUBH HEISLER LLC","16","$6,252.47","487.10","$216.49","$75,455.00","$0.00"
"KJAR MCKENNA & STOCKALPER","2","$48,265.67","497.00","$16,664.58","$74,927.50","$0.00"
"TRASK & HOWELL LLC","27","$8,077.36","603.50","$14,148.76","$74,865.00","$0.00"
"Taylor, Porter, Brooks & Phillips, L.L.P.","1","$147,236.59","372.40","$13,662.19","$74,834.20","$0.00"
"HORTON OBERRECHT KIRKPATRICK & MARTHA","9","$14,231.64","641.90","$18,053.91","$74,818.77","$0.00"
"KNAPP OHL & GREEN","14","$12,789.71","558.70","$1,451.35","$74,591.00","$0.00"
"DYNAN & ASSOCIATES","22","$26,650.12","648.00","$8,916.37","$74,577.99","$0.00"
"Weinstein Radcliff Pipkin","1","$88,187.08","391.33","$1,113.98","$74,259.40","$0.00"
"The Toomey Law Firm","9","$225.50","451.80","$0.00","$74,223.50","$0.00"
"HAWLEY TROXELL ENNIS & HAWLEY LLP","10","$15,101.04","466.70","$4,084.60","$74,218.56","$0.00"
"Inglish & Monaco","1","","176.50","$307.77","$74,086.92","$0.00"
"HAVKINS ROSENFELD RITZERT & VARRIALE LLP","7","$67,210.03","604.90","$1,093.36","$74,061.65","$0.00"
"WORLEY WOOD & PARRISH PA","29","$4,986.71","503.50","$735.42","$73,899.21","$0.00"
"FLICKER GARELICK & ASSOCIATES LLP","20","$11,116.58","414.30","$1,008.38","$73,751.90","$0.00"
"OLES MORRISON RINKER BAKER LLP","3","$3,920.00","341.30","$433.20","$73,120.41","$0.00"
"MCCORRISTON MILLER MUKAI & MACKINNON LLP","8","$33,160.45","552.60","$7,898.55","$72,921.37","$0.00"
"GOLD WEEMS BRUSER SUES & RUNDELL","8","$69,197.49","518.90","$17,173.00","$72,869.80","$0.00"
"SMALL HENSTRIDGE CABODI & PYLES LLP","2","$98,002.03","400.20","$4,581.25","$72,852.31","$0.00"
"HAIGHT BROWN & BONESTELL","8","$17,390.42","363.30","$3,843.26","$72,793.32","$0.00"
"HILL FARRER & BURRILL, LLP)","1","$134,985.17","128.40","$6,041.49","$72,715.50","$0.00"
"Brown & James, P.C.","18","$9,700.73","495.00","$1,613.20","$72,650.24","$0.00"
"PATRICO HERMANSON & GUZMAN APC","19","$21,460.92","546.50","$776.45","$72,417.20","$0.00"
"LAVERY LAW","13","$16,492.31","555.70","$5,258.18","$72,319.00","$0.00"
"Blake, Cassels & Graydon LLP","4","$24,161.98","116.20","$0.00","$72,303.50","$0.00"
"PLANTE LEBOVIC LLP","1","","418.60","$97,164.59","$72,135.20","$0.00"
"CHILTON YAMBERT & PORTER LLP","1","$175,203.96","447.60","$4,652.77","$72,100.10","$0.00"
"Schiff Hardin","2","$19,813.00","266.30","$1,250.58","$72,023.00","$0.00"
"Ballard Spahr","4","$229,681.96","114.70","$0.00","$71,839.70","$0.00"
"DOHERTY & DWYER PC","5","$36,211.30","375.20","$1,460.80","$70,993.70","$0.00"
"PETER C KOPFF LLC","8","$107,033.40","404.80","$1,932.49","$70,852.08","$0.00"
"Lamp Bartram Levy Trautwein & Perry","1","","453.00","$5,071.39","$70,692.50","$0.00"
"HOWD & LUDORF LLC","6","$12,076.76","513.30","$2,256.37","$70,204.22","$0.00"
"CULLEN & DYKMAN LLP","4","$86,364.92","482.30","$9,190.41","$69,239.50","$0.00"
"KREVOLIN & HORST LLC","5","$18,111.25","312.30","$19.55","$68,855.00","$0.00"
"TAYLOR BOOK ALLEN MORRIS LLP","2","$90,060.47","416.50","$3,150.81","$68,523.23","$0.00"
"Manire & Galla","1","","170.80","$0.00","$68,356.00","$0.00"
"THE BERRY FIRM","4","$129,930.23","443.50","$4,743.23","$67,971.71","$0.00"
"RYAN ROACH & RYAN LLP","56","$2,240.50","475.60","$4,830.16","$67,954.13","$0.00"
"VECCHIONE VECCHIONE CONNORS & CANO LLP","86","$2,820.38","606.60","$10,894.02","$67,594.62","$0.00"
"TEWKSBURY & KERFELD","1","$184,525.63","1,006.60","$41,079.46","$67,402.00","$0.00"
"Milber Makris Plousadis & Seiden, Llp","5","$37,853.10","381.70","$2,476.99","$67,262.68","$0.00"
"CAPLIN & DRYSDALE","3","$129,035.08","90.20","$0.00","$67,204.35","$0.00"
"MEIER BONNER MUSZYNSKI O'DELL & HARVEY PA","5","$84,772.21","409.40","$651.72","$67,179.77","$0.00"
"BOARDMAN CARR PETELOS WATKINS & OGLE PC","4","$41,153.89","372.30","$2,333.83","$67,154.80","$0.00"
"SILVESTER & CONROY LC","1","$148,746.84","450.50","$4,313.65","$66,635.37","$0.00"
"BUSH ROSS PA","1","$135,334.53","282.80","$1,266.10","$66,487.99","$0.00"
"THE AMIN LAW GROUP, LTD.","1","$109,359.59","374.49","$134.00","$65,911.99","$0.00"
"Hinkle Law Firm LLC","2","$4,456.50","446.50","$0.00","$65,884.50","$0.00"
"MCMAHON, MARTINE & GALLAGHER","9","$21,652.75","404.30","$29.24","$65,624.42","$0.00"
"HUESTON MCNULTY PC","7","$12,003.12","375.10","$9,649.18","$65,173.26","$0.00"
"HAWORTH BARBER & GERSTMAN LLC","6","$31,376.86","411.10","$2,680.87","$65,095.94","$0.00"
"STEVENS BALDO & LIGHTY PLLC","3","$21,673.68","379.40","$0.00","$65,021.04","$0.00"
"CARSON,RON","7","$57,818.82","577.40","$0.00","$64,610.60","$0.00"
"O'HAGAN MEYER","30","$3,322.55","533.20","$1,005.91","$64,472.49","$0.00"
"THOMAS PASCHOS & ASSOCIATES PC","8","$14,629.03","407.20","$1,581.31","$64,282.53","$0.00"
"Evans & McFarland, LLC","1","$68,053.01","195.50","$3,534.01","$64,155.00","$0.00"
"O'CONNOR O'CONNOR HINTZ & DEVENEY LLP","6","$20,506.65","411.10","$3,334.16","$64,041.30","$0.00"
"P.K. Schrieffer LLP","1","","403.90","$1,154.43","$63,846.00","$0.00"
"Nexsen Pruet","1","","272.50","$0.00","$63,789.50","$0.00"
"Grotefeld, Hoffmann, Schleiter, Gordon & Ochoa, Llp","16","$20,536.48","492.50","$27,240.57","$63,307.87","$0.00"
"KANE RUSSELL COLEMAN & LOGAN PC","6","$24,499.65","383.70","$7,569.86","$63,165.03","$0.00"
"TAFT, STETTINIUS & HOLLISTER, L.L.P.","1","$95,622.74","268.70","$138.08","$62,906.00","$0.00"
"LAW OFFICE OF STEINBERG SYMER & PLATT","4","$23,882.19","365.70","$1,264.08","$62,244.75","$0.00"
"Hinkle Shanor LLP","2","$6,797.48","339.20","$0.00","$62,232.50","$0.00"
"CHRISTENSEN HSU SIPES LLP (Chicago office)","2","$195,297.46","310.50","$29,628.60","$62,007.50","$0.00"
"CHAMBLEE & RYAN","2","$102,651.23","427.00","$16,708.79","$61,810.00","$0.00"
"WICK PHILLIPS GOULD & MARTIN LLP","1","$118,800.70","253.40","$6,204.35","$61,680.00","$0.00"
"Donnell, Kieschnick, Wolter & Gamez","4","$228,538.66","505.50","$0.00","$61,618.12","$0.00"
"BIANCAMANO & DI STEFANO PC","32","$4,411.77","581.90","$892.09","$61,317.21","$0.00"
"Goodman/Keller","2","","554.10","$248.72","$60,741.66","$0.00"
"EVERETT DOREY LLP","4","$24,229.91","1,905.59","$1,345.43","$60,721.89","$0.00"
"CARLOCK COPELAND & STAIR LLP","6","$48,105.35","316.30","$2,447.39","$60,407.80","$0.00"
"Cascione, Pulino, Boulos & Santos Sociedade De Advogados","2","$4,782,304.93","492.10","$172.15","$60,345.00","$0.00"
"Wilson Elser","5","$145,587.14","369.10","$504.25","$60,316.52","$0.00"
"NELSEN & LEE PC","4","$43,160.80","363.10","$3,811.05","$60,182.00","$0.00"
"MCCORRISTON, MILLER, MUKAI, AND MACKINNON","6","$17,274.32","423.00","$6.43","$59,770.00","$0.00"
"Groom Law Group","7","$124,900.98","91.10","$0.00","$59,731.07","$0.00"
"Snell & Wilmer","3","$813,057.89","196.40","$210.15","$59,644.50","$0.00"
"GOODMAN LAW FIRM","2","","556.40","$1,384.56","$59,414.51","$0.00"
"Reed McClure Attorneys at Law","7","$566,155.63","390.50","$200.00","$59,410.02","$0.00"
"KOELLER NEBEKER CARLSON & HALUCK LLP","3","$27,958.72","354.40","$615.28","$59,317.71","$0.00"
"Martin, Disiere, Jefferson & Wisdom, L.L.P.","9","$65,670.48","272.80","$2,815.20","$59,112.49","$0.00"
"Hodgson Russ","1","$90,637.99","276.70","$0.00","$59,070.47","$0.00"
"JARDINE LOGAN & O'BRIEN LLP","4","$16,031.81","500.40","$3,664.10","$58,938.44","$0.00"
"SERRANO, SERRANO","5","$14,039.18","327.80","$1,900.97","$58,868.27","$0.00"
"MOLSBY & BORDNER LLP","3","$115,947.26","325.90","$2,733.87","$58,831.19","$0.00"
"HANSON CURRAN LLP","7","$61,696.78","422.00","$0.00","$58,764.56","$0.00"
"EASTMAN & SMITH LTD","9","$15,673.59","387.00","$206.74","$58,721.67","$0.00"
"Armstrong Teasdale","1","$880,525.28","218.90","$3,027.89","$58,705.50","$0.00"
"BUTLER PAPPAS WEIHMULLER KATZ CRAIG","3","$561.94","327.00","$405.00","$58,620.63","$0.00"
"LASER LAW FIRM PA","14","$7,031.78","453.40","$3,257.26","$58,572.15","$0.00"
"Ashurst Png","1","","199.40","$0.00","$58,561.12","$0.00"
"Yetter Coleman","4","$75,670.20","141.00","$373.11","$58,257.40","$0.00"
"JOHNSON & OOLE LLC","5","$17,436.89","587.40","$23.04","$58,124.90","$0.00"
"Saul Ewing","3","$225,403.03","389.50","$0.00","$57,916.50","$0.00"
"PORTER SCOTT WEIBERG & DELEHANT","8","$103,365.88","398.00","$9,846.38","$57,897.25","$0.00"
"KEMP & KEMP","6","$20,383.64","414.90","$3,021.03","$57,520.89","$0.00"
"LESTER SCHWAB KATZ & DWYER LLP","10","$81,511.94","480.10","$311.83","$57,027.63","$0.00"
"Porteous, Hainkel & Johnson, LLP","11","$17,803.29","468.90","$21,348.41","$56,842.90","$0.00"
"Norman Hanson & De Troy","8","$26,400.80","410.50","$0.00","$56,683.86","$0.00"
"ANDERSON MCPHARLIN & CONNERS LLP","2","$30,320.08","246.60","$3,963.36","$56,676.80","$0.00"
"FOLEY BARON METZGER JUIP PLLC","2","$118,211.94","345.60","$17,535.00","$56,489.07","$0.00"
"CATRI HOLTON KESSLER & KESSLER PA","1","$325,598.34","373.80","$2,882.22","$56,384.50","$0.00"
"TENTINDO KENDALL CANNIFF & KEEFE LLP","17","$10,856.64","480.10","$3,695.42","$56,368.13","$0.00"
"WILLCOX & SAVAGE PC","1","$56,744.90","435.39","$422.65","$56,322.25","$0.00"
"ARCHIBALD & HALMON","1","$142,132.90","237.60","$773.50","$56,222.50","$0.00"
"GARCIA AGUIRRE & VILLARREAL","3","$20,397.73","252.60","$0.00","$56,151.20","$0.00"
"HESSE MARTONE PC","1","","347.95","$8,225.32","$55,932.25","$0.00"
"RATH YOUNG & PIGNATELLI PC","2","$60,003.34","385.70","$10,326.52","$55,852.54","$0.00"
"DOUGLAS DENHAM BUCCINA KENNEDY-JENSEN & BELL LLC","14","$4,668.66","494.80","$462.10","$55,760.00","$0.00"
"NICOLL BLACK & FEIG, PLLC","1","","319.90","$0.00","$55,563.99","$0.00"
"HAWKINS PARNELL THACKSTON & YOUNG LLP","9","$15,330.61","282.30","$2,529.54","$55,503.46","$0.00"
"Matovich, Keller & Huso","10","$6,566.08","322.10","$0.00","$55,453.11","$0.00"
"Bendavid Law","1","","300.30","$250.00","$55,424.00","$0.00"
"DECKER JONES PC","5","$8,007.80","446.90","$7,188.26","$55,297.76","$0.00"
"THE TRILLING ENVIRONMENTAL LAW FIRM","1","$244,947.50","166.50","$0.00","$55,265.00","$0.00"
"Ross Aronstam & Moritz","1","$368,548.14","66.55","$13,535.09","$55,013.05","$0.00"
"KIM VAUGHAN LERNER LLP","3","$119,644.16","314.20","$5,009.47","$54,832.43","$0.00"
"MIDKIFF MUNCIE & ROSS PC","7","$14,641.75","574.91","$1,890.66","$54,497.68","$0.00"
"Underwood Law Firm P.C.","1","$110,714.01","259.10","$15,285.78","$54,344.28","$0.00"
"Schafer & Schafer","14","$13,483.50","431.70","$5,491.80","$54,340.67","$0.00"
"GOODMAN LAW PC","1","","501.80","$1,391.98","$54,189.00","$0.00"
"BODYFELT MOUNT","1","$147,733.99","236.30","$64.32","$54,105.50","$0.00"
"Mehaffy Weber","3","$27,537.20","243.90","$2,407.05","$53,492.50","$0.00"
"KAZMAREK MOWREY CLOUD LASETER LLP","1","$80,492.56","248.30","$2,125.06","$53,384.50","$0.00"
"GREBEN AND ASSOCIATES","1","$471,034.49","213.20","$1,415.08","$53,239.20","$0.00"
"TROMBLEY & KFOURY PA","29","$2,665.53","374.50","$1,221.06","$53,140.19","$0.00"
"Morrow & Sheppard LLP","18","$23,055.77","304.80","$2,801.05","$52,799.99","$0.00"
"GUY LEVY ESQ","4","$58,807.60","356.50","$803.00","$52,781.00","$0.00"
"Law Offices Of Richard Montarbo","7","$8,510.20","338.70","$2.80","$52,483.00","$0.00"
"IRWIN, FRITCHIE, URQUHART, MOORE","8","$9,216.59","351.50","$1,451.88","$52,407.50","$0.00"
"HERSHEY DECKER","2","$37,682.19","275.20","$1,515.00","$52,350.50","$0.00"
"Leader & Berkon, LLP","2","$73,865.43","202.73","$10,460.91","$51,804.95","$0.00"
"LEVINE ORR & GERACIOTI PLLC","12","$27,739.36","358.90","$1,996.02","$51,768.81","$0.00"
"SAWTOOTH LAW OFFICES PLLC","1","$65,418.09","270.80","$13,673.09","$51,745.00","$0.00"
"LAW OFFICES OF DAVID C NUMRYCH PC","9","$7,425.21","288.20","$792.40","$51,688.50","$0.00"
"BROWN,JAMES W","13","$9,508.59","385.80","$1,155.18","$51,614.33","$0.00"
"CONKLIN WOODCOCK & ZIEGLER PC","1","","260.40","$5,572.28","$51,520.00","$0.00"
"Cleary, Gottlieb, Steen & Hamilton","1","$854,256.17","66.20","$0.00","$62,287.95","$10,904.40"
"Capes Sokol Goodman & Sarachan","1","","117.40","$140.00","$51,046.00","$0.00"
"Fennemore Craig","1","","230.90","$741.85","$50,947.00","$0.00"
"MBW Law, LLC","3","$100,678.37","228.10","$3,413.52","$50,889.09","$0.00"
"SPENCER FANE BRITT & BROWNE LLP","2","$627,572.81","162.40","$658.24","$50,689.90","$0.00"
"JASON WYLIE LAW","1","$72,071.05","192.70","$5,294.45","$50,280.00","$0.00"
"MCCANN GARLAND RIDALL & BURKE","1","$186,896.06","182.10","$26,083.60","$50,077.50","$0.00"
"CHRISTOVICH & KEARNEY LLP","4","$77,839.39","411.70","$1,074.12","$50,076.10","$0.00"
"Mintz, Levin, Cohn, Ferris, Glovsky & Popeo PC","1","$50,057.50","80.20","$0.00","$50,057.50","$0.00"
"HIGGINS, HOPKINS, MCLAIN & ROSWELL, LLC","1","$50,024.73","267.90","$0.00","$50,024.73","$0.00"
"ARNZEN STORM & TURNER PSC","8","$19,289.51","366.00","$2,331.73","$50,009.09","$0.00"
"BARRY MCTEIRNAN & MOORE","7","$30,688.32","281.05","$2,805.24","$49,744.50","$0.00"
"ICE, MILLER LLP","12","$11,868.15","203.30","$158.76","$49,727.51","$0.00"
"Clayman & Rosenberg LLP","1","","115.60","$33.33","$49,564.00","$0.00"
"CAMPBELL WOODS PLLC","4","$7,525.00","287.10","$44.08","$49,368.50","$0.00"
"SHENDELL & POLLOCK PL","4","$38,117.69","375.00","$2,649.69","$49,266.50","$0.00"
"MILNE LAW GROUP","3","","1,107.40","$0.00","$49,183.30","$0.00"
"DREW LAW FRIM","1","$187,170.86","336.90","$4,769.24","$49,020.36","$0.00"
"THE THIBODEAUX LAW FIRM LLC","12","$12,755.48","412.70","$14,647.08","$48,914.41","$0.00"
"LUNN IRION LAW FIRM LLC","6","$29,528.69","384.60","$787.50","$48,648.85","$0.00"
"Fee, Smith, Sharp & Vitullo, LLP","5","$115,850.20","310.00","$17,235.13","$48,338.72","$0.00"
"Farm Benedict Sugihara A Limited Liability Law Partnership L","3","","159.90","$0.00","$47,970.00","$0.00"
"Moseley Marcinak Law Group","2","$29,697.14","205.40","$6,621.52","$47,862.10","$0.00"
