"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"Kma Zuckert","11","$31,917.51","794.10","$4,367.27","$212,205.10","$0.00"
"CRAIG TERRILL HALE & GRANTHAM LLP","25","$25,605.18","2,027.65","$40,123.35","$212,112.56","$0.00"
"THE SMITH LAW FIRM - JAMES D. SMITH LAW FIRM","9","$30,640.78","1,589.79","$20,043.39","$211,790.81","$0.00"
"Simpson Thacher & Bartlett","6","$214,897.23","681.90","$49.04","$215,882.30","$5,357.50"
"KINSEY VINCENT PYLE","1","$230,825.47","1,360.50","$3,682.87","$209,993.00","$0.00"
"Powers, Sellers & Chapoton, LLP","15","$34,699.19","2,095.10","$17,005.36","$209,940.08","$0.00"
"Lenahan Lee Slater Pearse & Majernik","36","$10,142.03","1,256.10","$5,096.90","$209,723.20","$0.00"
"MASINI VICKERS RUKSAKIATI & HADSELL PC, .","1","","983.40","$6,620.61","$208,757.00","$0.00"
"Freshfields Bruckhaus Deringer","2","$442,062.22","2,070.00","$377.16","$208,400.00","$0.00"
"Stites & Harbison","3","$49,834.36","566.80","$250.02","$207,205.69","$0.00"
"Batescarey Llp","4","$150,811.16","825.50","$2,843.93","$206,929.26","$0.00"
"FREEMAN MATHIS & GARY LLP","13","$8,780.64","1,329.60","$0.00","$206,841.90","$0.00"
"Jacobs & Jacobs","6","$38,818.73","793.40","$4,487.53","$206,644.78","$0.00"
"Betty Neuman Mcmahon","52","$12,935.65","1,675.56","$15,839.52","$204,126.33","$0.00"
"COUGHLIN DUFFY LLP","15","$30,752.97","1,487.60","$8,777.08","$204,022.50","$0.00"
"Dinsmore & Shohl","14","$28,304.76","1,115.70","$15,562.27","$203,639.98","$0.00"
"FREY BUCK PS","4","$77,293.90","1,003.70","$1,671.36","$203,000.96","$0.00"
"MCHARGUE & JONES, LLC","243","$2,106.47","1,504.10","$0.00","$200,225.82","$0.00"
"Payne & Jones","245","$2,041.28","1,505.20","$0.00","$200,220.03","$0.00"
"FITZGERALD SCHORR BARMETTLER & BRENNAN PC LLO","14","$32,604.24","1,102.20","$11,608.49","$199,858.93","$0.00"
"Garcia & Villarreal, PLLC","4","$108,839.57","903.10","$5,295.05","$199,512.21","$0.00"
"LUCERO WOLLAM, PLLC","13","$27,200.27","1,391.20","$54,151.53","$198,569.00","$0.00"
"FISH NELSON & HOLDEN LLC","51","$7,430.52","1,724.00","$2,934.70","$198,378.73","$0.00"
